"name","capital"
"Aland Islands","Mariehamn"
"Albania","Tirana"
"Andorra","Andorra la Vella"
"Austria","Vienna"
"Belarus","Minsk"
"Belgium","Brussels"
"Bosnia and Herzegovina","Sarajevo"
"Bulgaria","Sofia"
"Croatia","Zagreb"
"Cyprus","Nicosia"
"Czech Republic","Prague"
"Denmark","Copenhagen"
"Estonia","Tallinn"
"Faroe Islands","Tórshavn"
"Finland","Helsinki"
"France","Paris"
"Germany","Berlin"
"Gibraltar","Gibraltar"
"Greece","Athens"
"Guernsey","St. Peter Port"
"Hungary","Budapest"
"Iceland","Reykjavik"
"Ireland","Dublin"
"Isle of Man","Douglas"
"Italy","Rome"
"Jersey","St. Helier"
"Kosovo","Pristina"
"Latvia","Riga"
"Liechtenstein","Vaduz"
"Lithuania","Vilnius"
"Luxembourg","Luxembourg"
"Malta","Valletta"
"Moldova","Chișinău"
"Monaco","Monaco"
"Montenegro","Podgorica"
"Netherlands","Amsterdam"
"North Macedonia","Skopje"
"Norway","Oslo"
"Poland","Warsaw"
"Portugal","Lisbon"
"Romania","Bucharest"
"Russia","Moscow"
"San Marino","City of San Marino"
"Serbia","Belgrade"
"Slovakia","Bratislava"
"Slovenia","Ljubljana"
"Spain","Madrid"
"Svalbard and Jan Mayen","Longyearbyen"
"Sweden","Stockholm"
"Switzerland","Bern"
"Ukraine","Kiev"
"United Kingdom","London"
"Vatican City","Vatican City"